arm,seed,label,n_days,start,end,start_equity,end_equity,total_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,win_rate,turnover_per_cycle,total_costs,time_in_market,n_cycles,risk_free_rate
full,16,full/seed16,2765,2015-01-02,2025-12-30,100000.0,302369.47861140565,2.0236947861140564,0.10589829805151685,0.11473637760421242,0.9368166310209327,1.2601198701010703,-0.15026898457078347,0.704724919476873,0.552821997105644,0.9053554395298222,44074.0264,0.7746226278057544,571,0.0
full,17,full/seed17,2765,2015-01-02,2025-12-30,100000.0,309345.25663894886,2.0934525663894887,0.10819530883714967,0.11751602402867926,0.9350784696067914,1.265500818653875,-0.16637900534652159,0.6502942400202999,0.5510130246020261,0.9063777921727664,48511.9238,0.7603578200130936,571,0.0
full,18,full/seed18,2765,2015-01-02,2025-12-30,100000.0,317766.21229421627,2.177662122942163,0.11090627679817278,0.11685459497062739,0.9607292416199374,1.2553424280653573,-0.1656336921636147,0.6695876626877241,0.5492040520984081,0.8916945520373946,45083.8718,0.7787645803725932,571,0.0
full,19,full/seed19,2765,2015-01-02,2025-12-30,100000.0,331133.7209005379,2.311337209005379,0.11507843272887719,0.11724257146637786,0.9899958410044613,1.2960844009074712,-0.1483033892353461,0.7759663034150658,0.5492040520984081,0.9282255770656499,49671.5985,0.7726518530004435,571,0.0
no_pods,0,no_pods/seed0,2765,2015-01-02,2025-12-30,100000.0,363702.26789340493,2.6370226789340494,0.12463559679407687,0.11186354553549521,1.1085964284906296,1.4798903969200854,-0.1477956882043777,0.8432965691240321,0.5517366136034733,0.8752607305389501,48820.1318,0.742485171769835,571,0.0
no_pods,1,no_pods/seed1,2765,2015-01-02,2025-12-30,100000.0,307891.3802470224,2.0789138024702236,0.10772048281450353,0.11492920456886267,0.9497909609020833,1.3144010649190032,-0.15595428244166523,0.6907183382719639,0.5506512301013025,0.9556088153077973,46405.9902,0.7487467807751957,571,0.0
no_pods,2,no_pods/seed2,2765,2015-01-02,2025-12-30,100000.0,327815.71504406503,2.2781571504406504,0.11405732892990339,0.11611771930377629,0.9904876310647529,1.3735240206400754,-0.12070573455862847,0.9449205486960865,0.546671490593343,0.9094927913706339,50827.6673,0.7709782138588173,571,0.0
no_pods,3,no_pods/seed3,2765,2015-01-02,2025-12-30,100000.0,299272.07672861696,1.9927207672861695,0.10486289355870837,0.11381543555404759,0.9351698837120815,1.2816951798432685,-0.13944711923708297,0.7519903898511109,0.5539073806078147,0.8753081127054703,39706.871199999994,0.7646493173393948,571,0.0
no_pods,4,no_pods/seed4,2765,2015-01-02,2025-12-30,100000.0,309293.8980319136,2.0929389803191363,0.10817857006755194,0.11568050103951033,0.9479418047491587,1.2853290306858494,-0.12699356245273172,0.8518429436753308,0.546671490593343,0.8571550412568688,42089.1897,0.7805725594061025,571,0.0
no_pods,5,no_pods/seed5,2765,2015-01-02,2025-12-30,100000.0,355702.294501459,2.55702294501459,0.1223623820405706,0.11480570642321916,1.0654114927332934,1.4180768734490599,-0.1653587176857113,0.7399814400661863,0.5568017366136034,0.9437826179154727,53846.1985,0.7644197595367204,571,0.0
no_pods,6,no_pods/seed6,2765,2015-01-02,2025-12-30,100000.0,283151.4783974629,1.831514783974629,0.09931148904361242,0.11452885511878926,0.8859898880202857,1.1949094528077608,-0.1776681558917578,0.5589718007998955,0.5510130246020261,0.8753921920601612,40307.332899999994,0.7541414708855857,571,0.0
no_pods,7,no_pods/seed7,2765,2015-01-02,2025-12-30,100000.0,363867.1086705269,2.6386710867052687,0.12468195703635088,0.11186525937082577,1.108880261583047,1.515774990072913,-0.14731700147639504,0.8463514447538424,0.554630969609262,0.8340797053242339,45533.715200000006,0.7703337822758213,571,0.0
no_pods,8,no_pods/seed8,2765,2015-01-02,2025-12-30,100000.0,329598.4649154241,2.2959846491542413,0.11460712516762595,0.1132561375165005,1.016996502251766,1.367584574663684,-0.16349741765898063,0.700972081447005,0.5517366136034733,0.9077906090105506,48384.12330000001,0.7682517968313414,571,0.0
no_pods,9,no_pods/seed9,2765,2015-01-02,2025-12-30,100000.0,318178.80785826314,2.1817880785826316,0.11103741908987952,0.1142704650298279,0.9808069801015642,1.343839049198065,-0.14448010917160267,0.7685308360197706,0.5434153400868307,0.8672523927224944,43546.1792,0.763886093550554,571,0.0
no_pods,10,no_pods/seed10,2765,2015-01-02,2025-12-30,100000.0,325020.70018900227,2.250207001890023,0.11318985691225159,0.11571914361578414,0.9867971027090724,1.3090013799630755,-0.16451436593446328,0.6880241507744219,0.5477568740955138,0.9010937815223405,50473.178199999995,0.7842688221529311,571,0.0
no_pods,11,no_pods/seed11,2765,2015-01-02,2025-12-30,100000.0,322551.25347151933,2.225512534715193,0.11241776857522434,0.11611626924960493,0.9777852717182985,1.3131142350230303,-0.1428411977295661,0.7870122230986828,0.5510130246020261,0.8678140449573443,43389.8086,0.76512981981874,571,0.0
no_pods,12,no_pods/seed12,2765,2015-01-02,2025-12-30,100000.0,319337.6303701311,2.193376303701311,0.11140492234308241,0.114037699740311,0.9855182634932123,1.3290388603126242,-0.15788856456496653,0.7055920905357433,0.5531837916063675,0.8525115667371287,42039.8113,0.7616013137199933,571,0.0
no_pods,13,no_pods/seed13,2765,2015-01-02,2025-12-30,100000.0,329807.2910799168,2.298072910799168,0.1146713497353895,0.11484532095625977,1.0050674821627128,1.3354536363782616,-0.20090998268883012,0.5707598408038926,0.5481186685962374,0.8970475881286565,43858.697199999995,0.755288610925253,571,0.0
no_pods,14,no_pods/seed14,2765,2015-01-02,2025-12-30,100000.0,315727.7029905195,2.1572770299051953,0.11025606220437445,0.11387157979710233,0.9777511588763429,1.284801136163623,-0.15669462694679384,0.7036365212561644,0.5517366136034733,0.861115053889871,45567.279500000004,0.7549643152774488,571,0.0
no_pods,15,no_pods/seed15,2765,2015-01-02,2025-12-30,100000.0,293344.6721830113,1.933446721830113,0.10285401783787007,0.11137519392806088,0.9368561062805627,1.2508244313171422,-0.1531371654294789,0.6716463475695932,0.5568017366136034,0.8535854850348156,42382.1266,0.7591931557819086,571,0.0
no_pods,16,no_pods/seed16,2765,2015-01-02,2025-12-30,100000.0,364487.9068468304,2.644879068468304,0.12485638073666472,0.11460377352534659,1.0864433300701681,1.4770219477523343,-0.12040038536547835,1.0370098098744458,0.5441389290882779,0.8655539035472786,46223.092000000004,0.7777573051603256,571,0.0
no_pods,17,no_pods/seed17,2765,2015-01-02,2025-12-30,100000.0,325971.48951064737,2.2597148951064736,0.11348570614105569,0.11715723382196434,0.9783575367632648,1.303343051144886,-0.1877826251137961,0.604346147958489,0.5481186685962374,0.8996966229277391,46095.6591,0.7546444657343518,571,0.0
no_pods,18,no_pods/seed18,2765,2015-01-02,2025-12-30,100000.0,369779.65777865925,2.6977965777865927,0.12633232202923517,0.11654880262549909,1.081535949385128,1.4651015433447288,-0.14202459190983405,0.8895101920760223,0.5473950795947902,0.9086114545467917,47260.8157,0.7732806238743558,571,0.0
no_pods,19,no_pods/seed19,2765,2015-01-02,2025-12-30,100000.0,300504.42240988516,2.0050442240988517,0.1052760056933304,0.11682733188938202,0.9172912905244313,1.2097482323281799,-0.1610845062779409,0.6535451988888581,0.5568017366136034,0.8279532617728231,43253.7917,0.7576445849094106,571,0.0
hmm_only,0,hmm_only/seed0,2765,2015-01-02,2025-12-30,100000.0,342320.3884830271,2.4232038848302713,0.11845386388906753,0.12279770664929024,0.9752528386703967,1.3096222649443938,-0.14271809060367688,0.8299849261437343,0.5434153400868307,1.5025837892423628,72409.3129,0.7845339330657716,571,0.0
hmm_only,1,hmm_only/seed1,2765,2015-01-02,2025-12-30,100000.0,263692.8541730101,1.636928541730101,0.09221437844304647,0.11972791511570442,0.7984695133165155,1.0291407292804817,-0.20008908860526778,0.4608666024011203,0.548480463096961,1.5035299355999199,72034.3406,0.7828297173272807,571,0.0
hmm_only,2,hmm_only/seed2,2765,2015-01-02,2025-12-30,100000.0,271098.308957494,1.7109830895749396,0.09496978108385101,0.11951499320333682,0.8206764530986025,1.1041061325201003,-0.20146131185483507,0.47140456005906695,0.5437771345875543,1.5047092407277556,71570.66519999999,0.7845130831414048,571,0.0
hmm_only,3,hmm_only/seed3,2765,2015-01-02,2025-12-30,100000.0,160436.58034120523,0.6043658034120523,0.04394286088494237,0.1030056546166427,0.47006822185569924,0.5010802320438581,-0.21392502869519944,0.2054124342203651,0.37337192474674386,1.0615543121765976,42300.0215,0.5519831986390799,571,0.0
hmm_only,4,hmm_only/seed4,2765,2015-01-02,2025-12-30,100000.0,244949.76190586935,1.4494976190586937,0.0849128791447662,0.1220698649192347,0.7303750360531543,0.9425389154990069,-0.22338064852875333,0.3801263883153079,0.5441389290882779,1.498384871863601,65680.3843,0.7802289747877578,571,0.0
hmm_only,5,hmm_only/seed5,2765,2015-01-02,2025-12-30,100000.0,238988.94847218442,1.3898894847218441,0.08248414433889817,0.12015081186338468,0.721361176135362,0.9467796269371674,-0.18954349612055235,0.43517264388980714,0.5408827785817656,1.5048356095439452,63538.88540000001,0.7856961714988436,571,0.0
hmm_only,6,hmm_only/seed6,2765,2015-01-02,2025-12-30,100000.0,301421.07332643046,2.0142107332643047,0.10558229169865285,0.12171477168522352,0.8875025885774575,1.1880977492827827,-0.1837126874875274,0.5747142080528381,0.5340086830680174,1.5018889314335742,67579.0325,0.7847818052196149,571,0.0
hmm_only,7,hmm_only/seed7,2765,2015-01-02,2025-12-30,100000.0,290929.31449353177,1.9092931449353179,0.10202482267169644,0.11859529257572143,0.8805081048823843,1.1450332839966753,-0.1554131720038415,0.6564747463565996,0.5513748191027497,1.490115946271802,73173.6857,0.7836744174556514,571,0.0
