Date,full,no_pods,hmm_only,no_decay,no_bandit_a,no_bandit_b,no_bandit_c,buy_and_hold,static_40,benchmark_spx
2015-03-02,99949.98065952999,100782.62900329531,99584.9653020274,100064.500955797,99827.6413585219,99628.56974277219,100148.04795599611,101078.12250677224,99865.44639840825,103778.26407104671
2015-03-03,99583.49156718375,100437.89995871177,99257.49232995653,99697.61019717212,99464.57212006784,99332.04816165022,99748.53608881192,100492.34465604373,99701.36981154235,103352.34539300717
2015-03-04,99451.51453156472,100297.07748410673,99242.8889831211,99565.51509839614,99336.25649941617,99292.97917332643,99647.94474156748,100372.42738921627,99597.5173071941,102916.67809857357
2015-03-05,99991.43996497699,100863.73663820121,99725.66431347022,100106.01162212054,99874.01027846753,99764.00604477494,100205.0536840695,101297.37763932513,99871.47633006284,103029.29360873593
2015-03-06,98773.75263443016,99601.48408106579,98558.13330406572,98887.05587704638,98663.24758929781,98552.20837811929,99000.22914223789,99289.47447434043,99228.35950807238,101580.22237149227
2015-03-09,99230.9791181412,99940.63742467941,98934.38371342127,99358.69359015036,99114.08747916359,98918.86020938025,99410.99422223182,99762.89058937068,99398.26768254561,102001.23961160457
2015-03-10,98310.51742780997,99299.51361064501,98097.28324507801,98419.87491207515,98216.43217274034,98159.46061143269,98670.27702979145,99071.55484801439,99075.3164543786,100346.56119223202
2015-03-11,98065.14544625333,99048.5076695016,97822.31209886706,98221.72824072916,97961.2342281868,97793.98006524987,98444.0194372705,98598.59713707589,98918.44643491547,100111.6086852435
2015-03-12,99039.09107591966,99951.84713856802,98788.71463147618,99188.65829325085,98920.14693263464,98708.9363227359,99302.47171715453,99807.81001910461,99342.99850226767,101384.39093548764
2015-03-13,98765.02538004279,99812.00862892365,98557.71590967868,98908.64170169117,98642.94912339494,98505.31240061493,99085.21412880295,99615.99050202033,99256.61078490055,100762.6950809039
2015-03-16,99925.73866132101,100997.25780501534,99657.1274821223,100069.56209894616,99799.63169582495,99601.61619735093,100188.377750298,101287.34538209734,99880.12289111361,102108.91751086606
2015-03-17,100001.69364104114,101081.31577460853,99709.92388574775,100155.83130010447,99870.29473576267,99604.583730207,100360.99754252765,101165.46780547792,99817.10697552603,101805.39008911312
